,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,26,25.2,59.6,30,330,2700,30.0,69,52,121,66,3,3,43,0,58.9,56.9,43.5,100.4,669,1651,2.30,1.73,4.03,2.20,3.93,1.96,1.45,3.42,1.90,3.35
Aston Villa,26,27.7,49.5,30,330,2700,30.0,39,26,65,36,3,3,59,1,38.4,36.1,29.0,65.2,489,1003,1.30,0.87,2.17,1.20,2.07,1.28,0.97,2.25,1.20,2.17
Bournemouth,31,27.1,38.9,30,330,2700,30.0,28,19,47,28,0,0,54,0,29.9,29.9,21.5,51.4,371,756,0.93,0.63,1.57,0.93,1.57,1.00,0.72,1.71,1.00,1.71
Brentford,25,26.9,43.4,30,330,2700,30.0,46,27,73,39,7,8,42,1,44.0,37.8,29.7,67.5,295,888,1.53,0.90,2.43,1.30,2.20,1.47,0.99,2.46,1.26,2.25
Brighton,26,27.4,59.9,28,308,2520,28.0,48,32,80,43,5,5,36,0,51.0,47.5,37.8,85.3,580,1388,1.71,1.14,2.86,1.54,2.68,1.82,1.35,3.17,1.70,3.05
Chelsea,32,27.2,59.1,30,330,2700,30.0,29,20,49,26,3,3,67,3,39.0,36.7,30.0,66.7,624,1366,0.97,0.67,1.63,0.87,1.53,1.30,1.00,2.30,1.22,2.22
Crystal Palace,26,27.6,44.2,30,330,2700,30.0,27,23,50,27,0,2,70,3,30.2,28.5,23.5,52.0,398,945,0.90,0.77,1.67,0.90,1.67,1.01,0.78,1.79,0.95,1.73
Everton,28,27.3,43.5,30,330,2700,30.0,22,18,40,20,2,2,64,1,32.5,31.0,23.5,54.5,399,819,0.73,0.60,1.33,0.67,1.27,1.08,0.78,1.87,1.03,1.82
Fulham,29,29.0,48.3,29,319,2610,29.0,36,22,58,32,4,7,69,1,35.2,29.7,21.5,51.2,498,1018,1.24,0.76,2.00,1.10,1.86,1.21,0.74,1.96,1.02,1.77
Leeds United,28,25.7,48.7,30,330,2700,30.0,37,27,64,36,1,2,68,2,37.5,35.9,26.1,61.9,463,1153,1.23,0.90,2.13,1.20,2.10,1.25,0.87,2.12,1.20,2.06
Leicester City,28,26.9,49.3,30,330,2700,30.0,38,28,66,37,1,2,49,2,35.6,34.1,29.5,63.6,480,1079,1.27,0.93,2.20,1.23,2.17,1.19,0.98,2.17,1.14,2.12
Liverpool,27,28.2,58.9,29,319,2610,29.0,46,37,83,46,0,2,43,1,52.0,50.5,40.0,90.5,526,1490,1.59,1.28,2.86,1.59,2.86,1.79,1.38,3.17,1.74,3.12
Manchester City,22,28.0,64.7,29,319,2610,29.0,73,54,127,66,7,7,36,1,61.9,56.4,44.7,101.0,759,1645,2.52,1.86,4.38,2.28,4.14,2.13,1.54,3.67,1.94,3.48
Manchester Utd,26,27.6,53.4,29,319,2610,29.0,42,34,76,40,2,2,61,2,45.8,44.2,35.9,80.1,527,1138,1.45,1.17,2.62,1.38,2.55,1.58,1.24,2.82,1.52,2.76
Newcastle Utd,26,28.1,51.4,29,319,2610,29.0,46,31,77,42,4,4,50,1,49.9,46.9,37.5,84.4,502,1209,1.59,1.07,2.66,1.45,2.52,1.72,1.29,3.02,1.62,2.91
Nott'ham Forest,33,27.2,40.2,30,330,2700,30.0,23,14,37,22,1,3,70,0,30.5,28.2,22.0,50.2,371,733,0.77,0.47,1.23,0.73,1.20,1.02,0.73,1.75,0.94,1.67
Southampton,31,25.2,44.9,30,330,2700,30.0,24,16,40,23,1,3,54,0,28.5,26.0,21.5,47.5,447,911,0.80,0.53,1.33,0.77,1.30,0.95,0.72,1.67,0.87,1.58
Tottenham,27,28.4,50.3,30,330,2700,30.0,53,35,88,49,4,5,63,3,43.2,39.3,31.7,71.0,554,1203,1.77,1.17,2.93,1.63,2.80,1.44,1.06,2.50,1.31,2.37
West Ham,25,28.8,42.8,29,319,2610,29.0,26,14,40,21,5,7,36,0,36.9,32.3,23.8,56.0,474,992,0.90,0.48,1.38,0.72,1.21,1.27,0.82,2.09,1.11,1.93
Wolves,31,27.4,50.5,30,330,2700,30.0,22,10,32,20,2,2,65,6,30.0,28.5,21.4,49.9,501,1139,0.73,0.33,1.07,0.67,1.00,1.00,0.71,1.71,0.95,1.66
